S/N,Date,Tweets
234,23/07/24,Everything around you has something to teach if you pay attention enough. Education is not confined to the four walls of any institution
235,23/07/24,Stay away from people who will act like a victim in the problem dey create.
236,23/07/24,Leader of tomorrow no fit happy today?
237,23/07/24,Do you believe in ghost ?
238,23/07/24,"If you dey use money buy friendships, know say you go dey subscribe Oh! 

Anyday your sub finish, dem go shift you one side"
239,23/07/24,"The reason why some men are still faithful is bes
they don't have money to cheat, money brings out men's character…"
240,23/07/24,If na watin go remove you from poverty abeg try take am serious 🤧💨🪂
241,22/07/24,I no really get watin or anything to talk here self
242,22/07/24,Even peace of mind don cost 🤧
243,22/07/24,What if devil no know say na him be the devil ?
244,22/07/24,Try make money so you fit comot from relationship when you no like 💨🪂🛁
245,22/07/24,"East or west , home is the best"
246,22/07/24,"There are some heights you may never reach in life unless someone tells someone about you. So close the door of relationships softly, because you might need it tomorrow."
247,22/07/24,But how una see this dangote matter self area ?
248,22/07/24,Coven sweet today sha 🤣😂
249,21/07/24,"This heavenly race self 💨🪂

how we Dey do am pass ?"
250,21/07/24,"Everybody in this country right now deserves a vacation 🤦💨 even if na Asaba 

the stress no be here"
251,21/07/24,"If you go hate me because of one person when no be him born you or when no  even know wether you dey exist

Ogbeni you are spiritually mad 🤣😂"
252,21/07/24,"Just make money
Some rules are for the poor !"
253,20/07/24,You don see am say life balance ?
254,20/07/24,"Except if na me just wan sleep with you, e no get any format way you wan use😂😂"
255,20/07/24,"Girls that liked us in secondary school are the realest.

No car, no iphone, no career. just ironed uniform, football skills and a coconut head"
256,20/07/24,Slay queens need love too 💐❤️🌎
257,19/07/24,Na only who get sense fit understand this country 🤷🏿‍♂️
258,19/07/24,"Na who get Dey give 

same way 

na who give Dey get"
259,19/07/24,"Deep down in their hearts, they know you are a good person, but their envy and jealousy will not allow them to speak well of you."
260,19/07/24,"Dem really flog me because I carry Compact dick and wokman come school that year 😂🤣 

today I be very famous musician wow 🐐💨 

Nothing God no fit do"
261,19/07/24,How To avoid idiots….
262,19/07/24,"The spirit just spoke to me now about the other half of the year … 

I will be giving out prophecies soon 💨💨"
263,19/07/24,Good morning 💨💐 wake and bake 💨🍃
264,18/07/24,Music sweet na better money kill am
265,18/07/24,"I will never be entitled to what's not mine and I won't cut you off because you refused to help!!!

trust me, even if we don't talk, the bond we had is still very strong, we all got different problems and everyone is trying to sort themselves out…"
266,18/07/24,"Link up, meet people, find update... 

No use soap kee yourself

A lot of stuffs no hard, na you no just sabi"
267,17/07/24,"Always go with the choice that scares you the most, because that's the one that is going to help you grow."
268,17/07/24,"If u like no hustle like werey feel say life na Nigerian film … 

Dey cray"
269,17/07/24,Girl wen you and her na same age don see life pass you take it or leave it
