S/N,Date,Tweet
346,15/3/20,My kids and I in a bit! 😎🤣❤️🖤🦅
347,15/3/20,I really made beautiful babies Man!! ! My boys ! Real soldiers!! ❤️❤️🖤🦅
348,15/3/20,Very amazed by my diaper changing skills 😂🤦‍♂️ Zion very proud too 🤣
349,14/3/20,Fuck u 🤣😂😂🤣🤣🤣🤣
350,14/3/20,Home is where I wanna be 🦋
351,14/3/20,3peat!!
352,13/3/20,From a different planet 🦋
353,13/3/20,Misplaced priorities 🤦‍♂️
354,13/3/20,Fucking dick heads! Give us 24hr electricity first
355,12/3/20,God guide and protect 🦅
356,11/3/20,No be today ikebe dey for back 😎
357,9/3/20,God is good 😇
358,5/3/20,On God 🖤🦅
359,5/3/20,E don happen 🤷‍♂️
360,5/3/20,Everything burst 2secs!!!
361,5/3/20,This is my mood for the rest of the year! 😎
362,2/3/20,7am shoot ! Very proud of myself 🤣
363,1/3/20,Can’t wait! 💪
364,28/2/20,Fire video soon land ❤️🦅 🔥🔥
365,27/2/20,Deals on deals 😇
366,26/2/20,Rip Dolapo! 💔God bless his soul and I pray God bless the family with the strength at this time 💔
367,24/2/20,This London weather! Abeg I’m back inside 🤘
368,24/2/20,I’m outside!!
369,23/2/20,AfroSeries
370,23/2/20,Tems and I created magic 😇❤️🦅
371,20/2/20,Very happy for growth and God’s guidance.. I love my scars more than ever
372,20/2/20,Finally done! So you know what that means! 😤😤
373,20/2/20,I been working on my album and my spirit.
374,20/2/20,Say man wake Na blessing o. Eledumare thank you 😇
375,19/2/20,Fly high woo 🦅💔
376,16/2/20,Bliss Sunday 🦅
377,14/2/20,Mama waking up to 100 roses !😘❤️🦅
378,9/2/20,Be confident !
379,8/2/20,Very thankful 😇🖤🦅
380,7/2/20,I break not! 😎
381,5/2/20,I’m tired! 🤷‍♂️ 😫😂
382,5/2/20,T’s day!! 🖤❤️🦅 long life/ more life!
383,5/2/20,Spent last couple days by myself....Never underestimate your powers ⚡️
384,26/1/20,💔short life
385,26/1/20,King Burna! Bring it home! 💯🖤❤️🦅
386,26/1/20,Wake up and get fresh for no bloody reason! 🦅
387,25/1/20,It’s plenty 😇
388,24/1/20,U already know gang 🖤🦅🤘
389,24/1/20,To see my sons smile brighten every grey sky 😇❤️🦅 #MadeinLagos
390,24/1/20,"I might be rough around the edges baby yes, I keep it nappy and I do what make me happy 🎹 #MadeinLagos"
391,22/1/20,Lagos 😇
392,21/1/20,Don Toliver 🔥🔥🔥
393,20/1/20,Very thankful 🦅
394,19/1/20,Ma Nigga wetin Dey marinate ?
395,19/1/20,😂 no space abeg!
396,19/1/20,Oluwa bless my day 🖤🦅
397,24/12/19,New me
398,22/12/19,take ! I dash you! 😎
399,5/12/19,Kampala Uganda!! ❤️🖤🦅
400,4/12/19,Uganda 🚀🚀🚀🦅
401,19/11/19,Ladies! Daddy ready for you ❤️🦅
402,18/11/19,Last night big vibe! But I still went to sleep alone...
403,16/11/19,Marlians!! zero belt 3thousand trousers! No mannaz!! 🤮
404,8/11/19,Mood 😎 in my bag foreal!
405,7/11/19,Zion serious Marlian! 🤯🤯🤯❤️🦅
406,21/10/19,Still in awe! Sleepless nights to get this right! ❤️ thank God! #Starboyfest!! We taking this all over the world!! 😈😈 we coming ❤️❤️❤️
407,6/10/19,Daddy ready for you too ladies! ❤️🤘
408,30/10/19,how to use your waist for this one! 😎😂 Joro!
409,3/1/19,Gone till March! Thank u 💔❤️
410,24/10/18,This one is special to me! Made a movie with my Best friend..🌹🦅❤️🧡💜💚
411,20/10/18,Always looking for Dad! 😂❤️❤️
412,11/9/18,Amazing seeing da boyz in my kit. 😇😇❤️❤️ Surulere hustle to da world !
413,10/9/18,Tell me why i no go love una! 😩😩😩❤️❤️❤️❤️❤️❤️🌍🌍😘
414,30/8/18,Starboy 🌍🌍
415,19/8/18,Thank u❤️
416,26/7/18,Fake love! We made a classic ❤️🙏🏾
417,21/6/18,📹📹 🌹🦅🦅 Forever up!
418,18/6/18,Woke up next to King Zion! ❤️
419,16/6/18,❤️❤️ @NaomiCampbell 🌹🦅❤️
420,16/6/18,Starboy 4 @dolcegabbana 🇳🇬❤️🦅🌹
421,6/6/18,Ninioooooola!!!! 🛑❤️🦅🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬
422,25/5/18,Zion ready for Pop up! We otw🚀🚀
423,17/5/18,9 Days!! 🌹🇳🇬🦅
424,29/4/18,Wavy yute! 🌹🦅
425,24/4/18,Found My gucci boy! Daddy yo got u! ❤️❤️🌹🌹
426,24/4/18,Gucci snake otw🔥🔥🔥🐍🐍🐍🐍❤️❤️❤️🌹🌹🌹
427,21/4/18,❤️🌹🌹🌹 Daddy Yo 4 da galsss🐍
428,19/8/18,Thank u❤️
429,10/8/18,NYC! We ready for u tomorrow! Starboy pop up 👀❤️🌹🦅
430,14/4/18,Mood :
431,22/6/18,More life Genius @Killertunes_Tii !! Love forever brother 🚀🚀❤️🦅🇳🇬
432,12/4/18,Mood
433,21/3/18,This is how i feel this year! 😎💰
434,7/3/18,Daddy yo dey make street ginger 🎬
435,7/3/18,Shawty needs a baby👀
436,2/3/18,Gang business💰💰 #Starboy
437,28/2/18,Welcome to da family. Help me with names...🌹❤️
438,25/2/18,Oya Soco!!! 😤😤❤️
439,18/2/18,Greatness Only!! 🙏🏾🙏🏾 Dex! Bloodline🛑
440,9/2/18,Office Open! Matter! 🇳🇬🇳🇬🇳🇬
441,17/2/18,Soco🔥🔥
442,15/1/18,My baby boy 2.. ❤️❤️❤️
443,7/13/17,"Woke up feeling like dis man !! Whatever u do in life, make sure u progress 💥"
444,30/10/17,My people na my security ⚔
445,29/10/17,Addis Ababa ❤️
446,1/10/17,Nigeria my country!! ❤️
447,30/9/17,Still buzzin ❤️❤️
448,30/9/17,Thank God
449,30/9/17,Star boy ⭐️⭐️❤️
450,24/9/17,Rehearsal with my band! Something different for London ❤️
451,22/8/17,Mood
452,24/8/17,Mood for life! #SK air 🏂
453,23/7/17,We had fun in the rain!! 😂
454,19/7/17,Talked about working with this man. Today we dey here! Legend! To the world my friend🚀🚀
455,16/7/17,Me today!!! 😎😎
456,15/7/17,Small nigga living BIG💥
457,6/7/17,Love to my fans!! This is all for u! Sharing our good energy with the world!! Hope u Feel the vibes and stay happy!! #SFTOS ! July 14th! ❤️
458,4/7/17,London bitch! 🐍🐍🐍 🚀
459,4/7/17,My heart and soul! ❤️❤️❤️ Mama's day!
460,2/7/17,Love the light! 💫
461,2/7/17,Boy stop!!! 😂😂😂😂😂 Love this boy ❤️❤️
462,28/6/17,Remeber this? 😂😂 this was the official birthday cake! 😂
463,28/6/17,Love u crazy! ❤️
464,27/6/17,Shit Different on this side 🌊
465,16/6/17,This is me today 😏
466,16/6/17,Come with Sade ... Ok?!
467,16/6/17,Baby girl don't be late ok?!
468,16/6/17,Baby girl...I only came to fxck!
469,15/6/17,Low key 🔊
470,3/6/17,Stay solid forever!! 🔊
471,26/5/17,Soon forward ▶️▶️▶️
472,26/5/17,Brudda 4 life!! 💥
473,26/5/17,Don't believe the hype its all gas ⛽️
474,26/5/17,NY!
475,8/5/17,Gang shit ⚡️⚡️
476,22/4/17,Yeah yeah yeah yeah!!
477,13/4/17,42 million for the akkant ooooo! Jesuuuu! 😩
478,12/4/17,Blessed guy 💙
479,13/4/17,My Brother @wilfriedzaha came thru the shoot ❤️
480,12/4/17,Bangerz4summer17❗️❗️ #Starboyworldwide
481,10/4/17,@izzlax happy birthday young king! Rasaki level!! 🔊🔊🔊 jaiye lo jo!!
482,10/4/17,Happy birthday queen @EFYA_Nokturnal !! Love u forever! ❤️
483,8/4/17,#ComeCloser
484,8/4/17,So far gone..
485,24/3/17,Loading to attack 🎬🔊
