S/N,Date,Tweet
322,19-11-2023,Since 2011 you don dey shout. Now your name is 001!
323,19-11-2023,WOAHH!!!!!
324,18-11-2023,Excellency ❤️❤️❤️
325,16-11-2023,"We all have a purpose and I’m really finding mine more and more in championing my culture and where I come from.

A.W.A.Y Fest is going to be a CELEBRATION 🇳🇬but bigger than that we’ll be raising awareness and bringing the world the best of Afrobeats ⏳

Thank you 
@zanelowe
 & 
@AppleMusic
  for letting me speak on this special moment."
326,16-11-2023,Now it’s a reality
327,15-11-2023,"Say welcome to our Host … 
@officialBovi
   A.W.A.Y Fest !!"
328,13-11-2023,Talk to nice ATL ⏳❤️🌎
329,13-11-2023,Me & u Tems … love this record ❤️🔥☄️
330,12-11-2023,Crazy fact  …. From age 13 till 16.. this man right here let me use his studio … never charged me once ! Love u xela!!
331,9-11-2023,The details are TIMELESS ⏳
332,9-11-2023,She bring her tea so I dipped my Lipton .. she like the way I sing song .. superwoman from krypton.. God sent me a real one
333,8-11-2023,Lol how u know 😂😂😂 I go soon reach Wer I Dey go sha lol 7 min remaining
334,8-11-2023,U get money na .. ur last name nah ‘Adeleke’.. go help am ..
335,8-11-2023,Excellency dem job us !! Dem say nah man ABORT MISSION 😂😂
336,8-11-2023,I don’t watch ball like that … but  come Wetin Man U do so?? Every week una dey complain 😂 enlighten me pls
337,8-11-2023,I hope y’all love the Davido Martell Xo Last night was amazing ! Apart from the fact that I had to go to the airport from the event  lol … back in ATL for AWAY fest Rehearsals 😊 it’s gonna be an AMAZING MONTH !!!
338,7-11-2023,Excellency !! Please someone help us locate her ❤️
339,7-11-2023,"From Osun state ??? 
@AAdeleke_01
 
@MrBanksOmishore"
340,6-11-2023,"My people prepare to embark on an opulent journey with the fusion of TIMELESS artistry and the rhythm of pure extravagance. 

#MartellXODavido #BeTheStandoutSwift"
341,6-11-2023,Preach unc!!
342,3-11-2023,Goosebumps
343,2-11-2023,The city can’t wait to have you champ 👑
344,2-11-2023,"We believe in God 
@morravey
 !!!! I’m so happy for you ! You deserve to be number 1 in the world !!"
345,1-11-2023,About to have a Ravi Listening party on my IG live in a few minutes ! Get ready !
346,1-11-2023,"I’m actually her biggest fan y’all will understand by midnight ! 
@morravey"
347,30-10-2023,LA ☀️… was Gud
348,30-10-2023,Excellency
349,30-10-2023,AWAY FEST
350,27-10-2023,Asa n Bobo wan kidnap me ooo help 😂
